ID	Name	DisplayName	Perform	Broadcast	MaxLootRange	bCanPK	bCanDuel	Type	MaxCopyCount	FarmerMaxCopyCount	MinPlayerCount	MaxPlayerCount	MaxFullLevelPlayerCount	KeepTime	ManualReset	RefreshCycle	RefreshOffset	MapDrop	ReviveInSitu	UseLastEntry	LimitTimes	BanSkillMask	BattleRelationMask	RevieCycle	AllScenePlayerInFight	ResourcePath	LoginIntervalTime	PreQueuePlayerCount	DoNotGoThroughRoof	QuestCountAchID	CampType	FightList	NeedCampBuff	MaxMapLevel	bCanTongWar	CanJoinBattleField	BanUseItemMask	CanJoinArena	IsArenaMap	NewCampFight	CanJoinTongBattlefield	MapCostThew	InvalidBuffMask	SingleMap	BanChangeTalent	CanSprint	DisableChangeEquip	DisableTalk	QueueForSwitchWhenFull	CampQueue	MaxNeutralPlayerCount	MaxGoodPlayerCount	MaxEvilPlayerCount	InvalidEnchantMask	ForceCheckProgress	IsTongWarMap	MaxCastleVIPPlayerCount	CanJoinCastleVIPQueue	IsDungeonRoleProgressMap
44	英雄日轮山城	英雄日轮山城	100	2	4	0	0	1	256	0	1	5		10	1	1440	420		0	1	5	3	0	0	0	data\source\maps\英雄日轮山城\英雄日轮山城.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				
45	英雄灵霄峡	英雄灵霄峡	100	2	4	0	0	1	256	0	1	5		10	1	1440	420	2	0	1	5	3	0	0	0	data\source\maps\英雄灵霄峡\英雄灵霄峡.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				
46	英雄战宝迦兰	英雄战宝迦兰	100	2	6	0	0	1	256	0	1	25		10	0	10080	6180		0	1	0	3	0	0	0	data\source\maps\英雄战宝迦兰\英雄战宝迦兰.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0	0	15	0	0	0	0			1	0	0	0	0	1	1				1
47	英雄风雨稻香村	英雄风雨稻香村	100	2	4	0	0	1	100	0	1	5		10	1	1440	420		0	1	5	3	0	0	0	data\source\maps\英雄风雨稻香村\英雄风雨稻香村.jsonmap	0	5	0		1	0	0		0	0	0	0	0	0	0	50	0	0	0	0			1	0	0	0	0	1	1				
52	七十级云湖天池	七十级云湖天池	100	4	5	0	0	2	100	0	1	24		2	0	0	0		0	1	0	0	2	160	0	data\source\maps\七十级云湖天池\七十级云湖天池.jsonmap	0	10	0		5	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				
53	邀星坪_夜射天狼	邀星坪_夜射天狼	100	4	4	0	0	1	128	0	1	2		2	1	0	0		0	1	0	3	0	0	0	data\source\maps\邀星坪_夜射天狼\邀星坪_夜射天狼.jsonmap	0	2	0		1	0	0		0	0	0	0	0	0	0		0	0	0	0			1	0	0	0	0	1	0				
55	守株围场_打猎	守株围场_打猎	100	2	4	0	0	1	64	0	1	2		2	1	0	0		0	1	0	3	0	0	0	data\source\maps\守株围场_打猎\守株围场_打猎.jsonmap	0	2	0		1	0	0		0	0	0	0	0	0	0		0	0	0	0			1	0	0	0	0	1	0				
56	困龙岭_梅花桩	困龙岭_梅花桩	100	2	4	0	0	1	64	0	1	2		2	1	0	0		0	1	0	3	0	0	0	data\source\maps\困龙岭_梅花桩\困龙岭_梅花桩.jsonmap	0	2	0		1	0	0		0	0	0	0	0	0	0		0	0	0	0			1	0	0	0	0	1	0				
57	陷空坳_宇文宝藏	陷空坳_宇文宝藏	100	2	4	0	0	1	128	0	1	2		2	1	0	0		0	1	0	3	0	0	0	data\source\maps\陷空坳_宇文宝藏\陷空坳_宇文宝藏.jsonmap	0	2	0		1	0	0		0	0	0	0	0	0	0		0	0	0	0			1	0	0	0	0	1	0				
74	帮会领地	帮会领地	100	1	4	0	1	4	640	256	1	200		3	0	0	0		1	1	0	6	0	0	0	data\source\maps\帮会领地\帮会领地.jsonmap	0	30	0		1	0	0		0	0	0	0	0	0	1		0	0	0	1			1	0	0	0	0	1	0				
66	英雄持国天王殿	英雄持国天王殿	100	2	6	0	0	1	256	0	1	25		10	0	10080	6180		0	1	0	3	0	0	0	data\source\maps\英雄持国天王殿\英雄持国天王殿.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0		15	0	0	0	0			1	0	0	0	0	1	1				1
60	持国天王殿	持国天王殿	100	2	6	0	0	1	256	0	1	10		10	0	4320	420		0	1	0	0	0	0	0	data\source\maps\持国天王殿\持国天王殿.jsonmap	0	10	1		1	0	0		0	0	0	0	0	0		20	0	0	0	0			1	0	0	0	0	1	1				1
61	宫中神武遗迹	宫中神武遗迹	100	2	6	0	0	1	256	0	1	10		10	0	4320	420		0	1	0	0	0	0	0	data\source\maps\宫中神武遗迹\宫中神武遗迹.jsonmap	0	10	1		1	0	0		0	0	0	0	0	0		20	0	0	0	0			1	0	0	0	0	1	1				1
63	英雄宫中神武遗迹	英雄宫中神武遗迹	100	2	6	0	0	1	256	0	1	25		10	0	10080	6180		0	1	0	3	0	0	0	data\source\maps\英雄宫中神武遗迹\英雄宫中神武遗迹.jsonmap	0	10	1		1	1	0		0	0	0	0	0	0		15	0	0	0	0			1	0	0	0	0	1	1				1
