MapID	ClassID	MinLevel	FitMinLevel	FitMaxLevel	Layer3Name	OtherName	VersionName	DungeonImage1	DungeonFrame1	DungeonImage2	DungeonFrame2	DungeonImage3	DungeonFrame3	EnterWay	BossInfo	Introduction	Tutorial	HelpImage	HelpText	DivideLevel	DivideName	bRaceRank	bGetLock	DlcID	EnterMapID	IsRecommend	Rushmode	RushmodeTip	bIsPast
42	2	100	100	100	5人英雄	天子峰	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_2.UITex	6	ui\Image\Dungeon\DungeonImage\tianzifeng.UITex	0	ui\Image\Dungeon\Background\tianzifeng.UITex	0	南屏山中	玄阴子 程傲 道衍 李裳秋 方鹤影	<text>text="当年剑圣与方乾相约于天子峰一比高下，最后在天子峰之巅的决战中方乾败给了剑圣半招。方乾虽然战败，但败得并不甘心，固在天子峰的绝壁之上刻下了自己对剑圣武功的破解之法，以此来证明并不是自己技不如人，更希望能有后人学会自己的武功来打败剑圣，以雪前耻（非真相，江湖传闻的表面现象）。\\\n　　虽事隔多年，但当年二人比武所留下的痕迹仍清晰可见，固引来无数江湖人士聚集在天子峰之上研习武学，希望能从这些遗迹中参透得一招半式上乘武学。相近的出生却有着天差地别的命运，方鹤影虽为方乾的兄弟，但无论资质和处境都比方乾差很多。在方乾的耀眼光芒下，从小到大方家中人就没有人注意方鹤影，在这样的环境下逐渐形成了方鹤影扭曲的人格和对方乾的敌视。\\\n　　直到后来方鹤影钟情的女子方碧玲硬是被方家的长辈许配给方乾，却又被方乾抛弃，方鹤影已无法按捺心中的仇恨，为报复方家中人，方鹤影先后鼓动了万花聋哑村的暴乱和司徒一一的报复行为。可惜都没有成功。在当年方鹤影死后，天子峰再也没人看守。为了实现自己称霸武林的野心，方鹤影暗中藏在天子峰巅研习方乾当日留下的剑术，打算功成之日，再去找方家中人报复。" font=162</text>				70	风起稻香			1	22	1	1	秘境内可以通过地字玖伍贰柒开启无双模式	
43	2	100	100	100	5人英雄	空雾峰	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	14	ui\Image\Dungeon\DungeonImage\kongwufeng.UITex	0	ui\Image\Dungeon\Background\kongwufeng.UITex	0	纯阳东北	夕罗双 鬼影千华、藤原樱奈 梅剑雄	<text>text="阴阳杀阵暗藏玄机，梅氏叛徒重返中原。" font=162</text>				70	风起稻香			1	7	1	1	秘境内可以通过地字玖伍贰柒开启无双模式	
44	2	100	100	100	5人英雄	日轮山城	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_2.UITex	2	ui\Image\Dungeon\DungeonImage\rilunshancheng.UITex	0	ui\Image\Dungeon\Background\rilunshancheng.UITex	0	寇岛西北	尸灵武者 谢云流 野村一郎 服部胧藏	<text>text="倭寇贼心至今不死，剑魔终现日轮山城。" font=162</text>				70	风起稻香			1	10	1	1	秘境内可以通过地字玖伍贰柒开启无双模式	
45	2	100	100	100	5人英雄	灵霄峡	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	15	ui\Image\Dungeon\DungeonImage\lingxiaoxia.UITex	0	ui\Image\Dungeon\Background\lingxiaoxia.UITex	0	少林西北	慧钟 千叶佛像 天竺藏经盒	<text>text="天竺僧人暗藏秘宝，千叶佛像矗立灵霄。" font=162</text>				70	风起稻香			1	5	1	1	秘境内可以通过地字玖伍贰柒开启无双模式	
46	3	70	70	70	25人英雄	战宝迦兰	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_2.UITex	10	ui\Image\Dungeon\DungeonImage\zhanbaojialan.UITex	0	ui\Image\Dungeon\Background\zhanbaojialan.UITex	0	洛阳北部，武牢关西南方向，按M打开大地图可看到“战宝迦兰”字样便是秘境的入口位置。同时需在头像列表中选择“高级”模式	王海银 朱癸 平等 掌火 智慧&镇恶 风火云三使	<text>text="贞观二十二年，师子光借助叛臣阿罗顺那的实力建起一座规模宏大的寺庙，名为“战宝迦兰”，自称“菩提会”，实为针对大唐的秘密组织。\\\n　　长寿三年，师子光逝世，弟子摩提耶罗继承了他的职位，此时菩提会已变成宗教狂热分子的集中所在。菩提会弟子疯狂地想要夺回甚至不惜摧毁唐朝寺院所收藏的天竺经书。摩提耶罗派遣十二宝树王中的数位支援中土，更希望中土弟子能与其他势力联合，互相辅助达成目的。\\\n　　天宝五年，杨国忠为削弱与李氏天策府交好的少林，与菩提会合作。菩提会终于在中土有了属于自己的寺院，他们将这座位于洛阳的寺院取名为“战宝迦兰”以纪念天竺总教，人称他们为“天竺迦兰僧”。" font=162</text>				70	风起稻香			1	8				1
47	2	100	100	100	5人英雄	风雨稻香村	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	8	ui\Image\Dungeon\DungeonImage\FengYuDXC.UITex	0	ui\Image\Dungeon\Background\FengYuDXC.UITex	0	龙门荒漠李复	卢元霸 齐宗强 肖红 汪莽	<text>text="风起稻香再绎纷乱，鬼谋千智却有一失。" font=162</text>				70	风起稻香			1	23	1	1	秘境内可以通过地字玖伍贰柒开启无双模式	
51	1	22	25	28	5人普通	剑冢	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	13	ui\Image\Dungeon\DungeonImage\jianzhong.UITex	0	ui\Image\Dungeon\Background\jianzhong.UITex	0	藏剑剑冢	叶芳致 叶无心 叶琦菲	<text>text="紫薇剑剑气冲云霄，君子风风过四季谷。" font=162</text>				70	风起稻香			1	49				
53	4	10	10	70	2人副本	邀星坪	风起稻香							在“秘境队伍招募”界面进行个人排队或由队长在组队界面进行排队，成功组队后系统会自动传送您至秘境中。		<text>text="东瀛的一刀流忍者四处挑战中原武林人士，而且往往是锁定挑战目标之后聚众呼啸而来，以偷袭群殴等手段得手之后再逃遁。他们喜欢在作案地点点亮孔明灯，以暗号的形式通知同伴，但是这种暗号代表的具体含义目前并不为人所知。所以中原侠士们目前要做的就是用火箭尽快破坏对方的暗号，阻止他们的阴谋得逞。" font=0</text>				70	风起稻香			1					
55	4	10	10	70	2人副本	守株围场	风起稻香							在“秘境队伍招募”界面进行个人排队或由队长在组队界面进行排队，成功组队后系统会自动传送您至秘境中		<text>text="\\\n　　天策府自创立以来便在府中设立围猎大赛以锻炼驭射之术，磨砺军魂，可非本门之人无可尝试。太宗皇帝知晓后，特敕命天策兴建向公众开放的围猎场所，以强健唐人体魄，文明唐人精神。守株围场便是其中之一。围场内不但有各类野兽，以供射猎，更有和风薰人，怡然的景色，但凡对狩猎有心之人皆可参与其中。\\\n" font=162</text>				70	风起稻香			1					
56	4	10	10	70	2人副本	困龙岭	风起稻香							在“秘境队伍招募”界面进行个人排队或由队长在组队界面进行排队，成功组队后系统会自动传送您至秘境中		<text>text="\\\n　　江湖侠盗玉面飞狐，受丐帮长老所托，前去困龙岭寻找当年枫华谷大战的秘密。期间受到神秘势力的追杀，身负重伤。当她赶到困龙岭的时候因为伤势严重已经无力再从梅花阵中拿取那份秘密，于是她便托付各路英雄豪杰前来帮她进入困龙岭梅花桩，获取秘密。\\\n" font=162</text>				70	风起稻香			1					
57	4	10	10	70	2人副本	陷空坳	风起稻香							在“秘境队伍招募”界面进行个人排队或由队长在组队界面进行排队，成功组队后系统会自动传送您至秘境中		<text>text="\\\n　　江湖传闻，前朝宇文家族早有叛乱自立之心，他们搜刮了大量的民脂民膏，最后将宝藏存放在中华各处，以备将来起事之用。只是当年隋朝灭亡得太过迅速，宇文家族的知情人尚且来不及动用那些宝藏就身死乱军之中。\\\n　　虽然从来没有人真正见过宇文家的宝藏，但是它仍然引得无数江湖儿女趋之若鹜，传说宝藏中不仅仅有着富可敌国的钱财，更有着武林人士梦寐以求的武功秘笈和五行石。就连宇文家的后裔，也一直在苦苦追寻着宝藏所在。\\\n" font=162</text>				70	风起稻香			1					
60	3	100	100	100	10人普通	持国天王殿	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	0	ui\Image\Dungeon\DungeonImage\ChiGuoTianWang.UITex	0	ui\Image\Dungeon\Background\ChiGuoTianWang.UITex	0	少林西北角，灵霄峡左侧，打开少林地图可查看到	提多罗吒	<text>text="少林“达摩洞”乃藏有少林高深武学一隐秘地点，更是禁锢了上代明教四法王之一“血眼龙王”的所在。要想进入“达摩洞”，需过重重关卡，而第一个必经之门便是由木金刚之一的东方持国天“提多罗吒”看守。如今，天竺迦南僧智慧王再次计划盗取少林七十二绝技，江湖又将掀起一场风波。" font=162</text>				70	风起稻香			1	5	1			
61	3	100	100	100	10人普通	宫中神武遗迹	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	9	ui\Image\Dungeon\DungeonImage\GongZhongShenWu.UITex	0	ui\Image\Dungeon\Background\GongZhongShenWu.UITex	0	寇岛日轮山城码头，与船夫“足利义满”对话选择“送我去10人宫中神武遗迹”选项进入。	谢云流	<text>text="谢云流-原纯阳第一大弟子，由于多年前的一场变故，而远行东瀛列岛，后创立一刀流。此次，谢云流邀请李忘生在寇岛会面，意在化解之前的所有恩怨。而李忘生也向各大门派发出邀请函，欲将谢云流事件向武林解释清楚。此时，各路江湖豪杰均会收到一封神秘信件，信中内容称谢云流假借会面之名，实则是想杀害李忘生及各门派人士。事情究竟为何，还需各位前往一探究竟。" font=162</text>				70	风起稻香			1	10	1			
62	2	100	100	100	5人英雄	剑冢	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	13	ui\Image\Dungeon\DungeonImage\jianzhong.UITex	0	ui\Image\Dungeon\Background\jianzhong.UITex	0	藏剑剑冢	叶凌烈 叶无心 叶火汐 叶昊天 叶金素 叶冬辰 叶秋池	<text>text="  剑冢意为埋剑之地。当年藏剑山庄第一代庄主叶孟秋将毕生所炼之剑埋于古剑庐，是为“剑冢”。\\\n\\\n秘境掉落：\\\n　　可获得" font=162</text><text>text="136-142品质" font=102</text><text>text="蓝色装备，并有一定几率可获得" font=162</text><text>text="130-136品质的紫色武器" font=102</text><text>text="。\\\n\\\n" font=162</text>				70	风起稻香			1	49	1	1	秘境内可以通过地字玖伍贰柒开启无双模式	
63	3	70	70	70	25人英雄	宫中神武遗迹	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	9	ui\Image\Dungeon\DungeonImage\GongZhongShenWu.UITex	0	ui\Image\Dungeon\Background\GongZhongShenWu.UITex	0	寇岛日轮山城码头，与船夫“足利义满”对话选择“送我去25人宫中神武遗迹”选项，并且将秘境模式更改为“高级”。	谢云流	<text>text="谢云流-原纯阳第一大弟子，由于多年前的一场变故，而远行东瀛列岛，后创立一刀流。此次，谢云流邀请李忘生在寇岛会面，意在化解之前的所有恩怨。而李忘生也向各大门派发出邀请函，欲将谢云流事件向武林解释清楚。此时，各路江湖豪杰均会收到一封神秘信件，信中内容称谢云流假借会面之名，实则是想杀害李忘生及各门派人士。事情究竟为何，还需各位前往一探究竟。" font=162</text>				70	风起稻香			1	10				1
64	3	70	70	70	25人普通	宫中神武遗迹	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	9	ui\Image\Dungeon\DungeonImage\GongZhongShenWu.UITex	0	ui\Image\Dungeon\Background\GongZhongShenWu.UITex	0	寇岛日轮山城码头，与船夫“足利义满”对话并选择“送我去25人宫中神武遗迹”选项进入。	谢云流	<text>text="谢云流-原纯阳第一大弟子，由于多年前的一场变故，而远行东瀛列岛，后创立 一刀流。此次，谢云流邀请李忘生在寇岛会面，意在化解之前的所有恩怨。而李忘生也向各大门派发出邀请函，欲将谢云流事件向武林解释清楚。此时，各路江湖豪杰均会收到一封神秘信件，信中内容称谢云流假借会面之名，实则是想杀害李忘生及各门派人士。事情究竟为何，还需各位前往一探究竟。" font=162</text>				70	风起稻香			1	10				1
65	3	70	70	70	25人普通	持国天王殿	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	0	ui\Image\Dungeon\DungeonImage\ChiGuoTianWang.UITex	0	ui\Image\Dungeon\Background\ChiGuoTianWang.UITex	0	少林西北角，灵霄峡左侧，打开少林地图可查看到	提多罗吒	<text>text="少林“达摩洞”乃藏有少林高深武学一隐秘地点，更是禁锢了上代明教四法王之一“血眼龙王”的所在。要想进入“达摩洞”，需过重重关卡，而第一个必经之门便是由木金刚之一的东方持国天“提多罗吒”看守。如今，天竺迦南僧智慧王再次计划盗取少林七十二绝技，江湖又将掀起一场风波。" font=162</text>				70	风起稻香			1	5				1
66	3	70	70	70	25人英雄	持国天王殿	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	0	ui\Image\Dungeon\DungeonImage\ChiGuoTianWang.UITex	0	ui\Image\Dungeon\Background\ChiGuoTianWang.UITex	0	少林西北角，灵霄峡左侧，打开少林地图可查看到，进入需先更换秘境难度为“高级”。	提多罗吒	<text>text="少林“达摩洞”乃藏有少林高深武学一隐秘地点，更是禁锢了上代明教四法王之一“血眼龙王”的所在。要想进入“达摩洞”，需过重重关卡，而第一个必经之门便是由木金刚之一的东方持国天“提多罗吒”看守。如今，天竺迦南僧智慧王再次计划盗取少林七十二绝技，江湖又将掀起一场风波。" font=162</text>				70	风起稻香			1	5				1
67	3	100	100	100	10人普通	荻花宫后山	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	3	ui\Image\Dungeon\DungeonImage\DiHuaHouShan.UITex	0	ui\Image\Dungeon\Background\DiHuaHouShan.UITex	0	枫华谷南，打开枫华谷地图可查看到	水烟 罗索斯 提坦德亚罗 牡丹	<text>text="红衣奸邪心怀不轨，荻花后山意欲葬龙。红衣教主阿萨辛派出精锐手下驻守荻花宫后山，意图复活沙利亚，并对被俘虏的皇室后裔进行调教，希望从内部入手，使大唐皇族分崩离析。" font=162</text>				70	风起稻香			1	12	1			
68	3	100	100	100	10人普通	荻花圣殿	巴蜀风云	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	5	ui\Image\Dungeon\DungeonImage\dihuashengdian.UITex	0	ui\Image\Dungeon\Background\DiHuaShengDian.UITex	0	枫华谷南，打开枫华谷地图可查看到	牡丹 圣蛇·姬无双 慕容追风 卫栖梧 阿萨辛之灵 阿萨辛 沙利亚 慕容夫人 乌蒙贵之标本作品集	<text>text="在遭受连番挫折后，红衣教主阿萨辛带领诸多高手退守荻花圣殿。此殿藏有阿萨辛搜刮多年之稀世珍宝，也是红衣教在中原的最后据点，防守之严密几乎可说是滴水不漏。若要彻底铲除这为祸人间的红衣教，解救众多迷失心性的无辜教徒，各路江湖豪杰必定要浴血奋战方能成功。如今看来，这江湖必定又将掀起一场大风波了。" font=162</text>				80	巴蜀风云			2	12	1			
69	3	80	80	80	10人英雄	荻花圣殿	巴蜀风云	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	5	ui\Image\Dungeon\DungeonImage\dihuashengdian.UITex	0	ui\Image\Dungeon\Background\DiHuaShengDian.UITex	0	枫华谷南，打开枫华谷地图可查看到	牡丹 圣蛇·姬无双 慕容追风 卫栖梧 阿萨辛之灵 阿萨辛 沙利亚 慕容夫人 乌蒙贵之标本作品集	<text>text="在遭受连番挫折后，红衣教主阿萨辛带领诸多高手退守荻花圣殿。此殿藏有阿萨辛搜刮多年之稀世珍宝，也是红衣教在中原的最后据点，防守之严密几乎可说是滴水不漏。若要彻底铲除这为祸人间的红衣教，解救众多迷失心性的无辜教徒，各路江湖豪杰必定要浴血奋战方能成功。如今看来，这江湖必定又将掀起一场大风波了。" font=162</text>				80	巴蜀风云			2	12				1
70	3	80	80	80	25人普通	荻花圣殿	巴蜀风云	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	5	ui\Image\Dungeon\DungeonImage\dihuashengdian.UITex	0	ui\Image\Dungeon\Background\DiHuaShengDian.UITex	0	枫华谷南，打开枫华谷地图可查看到	牡丹 圣蛇·姬无双 慕容追风 卫栖梧 阿萨辛之灵 阿萨辛 沙利亚 慕容夫人 乌蒙贵之标本作品集	<text>text="在遭受连番挫折后，红衣教主阿萨辛带领诸多高手退守荻花圣殿。此殿藏有阿萨辛搜刮多年之稀世珍宝，也是红衣教在中原的最后据点，防守之严密几乎可说是滴水不漏。若要彻底铲除这为祸人间的红衣教，解救众多迷失心性的无辜教徒，各路江湖豪杰必定要浴血奋战方能成功。如今看来，这江湖必定又将掀起一场大风波了。" font=162</text>				80	巴蜀风云			2	12				1
71	1	20	75	80	5人普通	仙踪林	巴蜀风云	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_2.UITex	9	ui\Image\Dungeon\DungeonImage\xianzonglin.UITex	0	ui\Image\Dungeon\Background\XianZhongLin.UITex	0	五毒中部	塔纳刀王 女祭司水云 苏髓	<text>text="五仙潭里塔纳横行，善意曲云举步维艰。" font=162</text>				80	巴蜀风云			2	102				1
72	3	80	80	80	25人英雄	荻花圣殿	巴蜀风云	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	5	ui\Image\Dungeon\DungeonImage\dihuashengdian.UITex	0	ui\Image\Dungeon\Background\DiHuaShengDian.UITex	0	枫华谷南，打开枫华谷地图可查看到	牡丹 圣蛇·姬无双 慕容追风 卫栖梧 阿萨辛之灵 阿萨辛 沙利亚 慕容夫人 乌蒙贵之标本作品集	<text>text="在遭受连番挫折后，红衣教主阿萨辛带领诸多高手退守荻花圣殿。此殿藏有阿萨辛搜刮多年之稀世珍宝，也是红衣教在中原的最后据点，防守之严密几乎可说是滴水不漏。若要彻底铲除这为祸人间的红衣教，解救众多迷失心性的无辜教徒，各路江湖豪杰必定要浴血奋战方能成功。如今看来，这江湖必定又将掀起一场大风波了。" font=162</text>				80	巴蜀风云			2	12				1
73	3	70	70	70	10人英雄	荻花宫后山	风起稻香	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	3	ui\Image\Dungeon\DungeonImage\DiHuaHouShan.UITex	0	ui\Image\Dungeon\Background\DiHuaHouShan.UITex	0	枫华谷南，打开枫华谷地图可查看到	水烟 罗索斯 提坦德亚罗 牡丹	<text>text="红衣奸邪心怀不轨，荻花后山意欲葬龙。红衣教主阿萨辛派出精锐手下驻守荻花宫后山，意图复活沙利亚，并对被俘虏的皇室后裔进行调教，希望从内部入手，使大唐皇族分崩离析。" font=162</text>				70	风起稻香			1	12				1
75	1	76	79	80	5人普通	毒神殿	巴蜀风云	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	6	ui\Image\Dungeon\DungeonImage\dushendian.UITex	0	ui\Image\Dungeon\Background\dushendian.UITex	0	黑龙沼西部	塔丹茂伯 鲍穆侠 大巫医乌灵风	<text>text="小邪忘情毒神现世，仗义穆侠舍身救人。" font=162</text>				80	巴蜀风云			2	104				1
106	1	70	72	80	5人普通	法王窟	巴蜀风云	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_1.UITex	5	ui\Image\Dungeon\DungeonImage\fawangku.UITex	0	ui\Image\Dungeon\Background\fawangku.UITex	0	白龙口东	青翼蝠王 白眉鼠王 智慧王	<text>text="明教余孽死心不息，法王秘窟浩气长空。" font=162</text>				80	巴蜀风云			2	100				1
107	1	70	73	80	5人普通	无量宫	巴蜀风云	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_2.UITex	7	ui\Image\Dungeon\DungeonImage\wulianggong.UITex	0	ui\Image\Dungeon\Background\wulianggong.UITex	0	无量山西北	桃谷六仙 濯尘 神算多多	<text>text="无量宫中红衣肆虐，神算蒙尘妖花盛开。" font=162</text>				80	巴蜀风云			2	101				1
109	3	100	100	100	10人普通	龙渊泽	巴蜀风云	ui\Image\Dungeon\BackgroundBar\ChangjingSmallBG_2.UITex	0	ui\Image\Dungeon\DungeonImage\longyuanze.UITex	0	ui\Image\Dungeon\Background\longyuanze.UITex	0	成都东南角，雾霞林右侧，打开成都地图可查看到	辽东双煞 南诏双雄	<text>text="龙渊泽内激战连绵，挫败巨擘功成名就。天南王家派出高手，在龙渊泽内摆设生死擂台，意欲从此选出部分真正能为自己所用之人，顺便淘汰一些实力不足或不愿为其效力的中原侠士。" font=162</text>				80	巴蜀风云			2	108	1			
